model,metric,trend_pp_per_tier,trend_p,trend_star,contrast_L_minus_H,contrast_p,contrast_star,crossing_tier,clip_below0_count,clip_above1_count,clip_all_count,n_cells,clip_below0_pct,clip_above1_pct,clip_all_pct,n_cases
Gemini,clipped,9.96,0.00027,***,-33.41,0.00019,***,3.028,20,8,28,300,6.67,2.67,9.33,30
Gemini,unclipped,14.16,0.00232,**,-47.69,0.00221,**,3.262,20,8,28,300,6.67,2.67,9.33,30
GLM,clipped,11.25,7e-05,***,-37.29,2e-05,***,3.987,19,5,24,300,6.33,1.67,8.0,30
GLM,unclipped,14.99,0.00026,***,-55.63,0.00039,***,3.987,19,5,24,300,6.33,1.67,8.0,30
MiMo,clipped,6.7,0.00321,**,-19.14,0.00558,**,3.199,7,1,8,300,2.33,0.33,2.67,30
MiMo,unclipped,6.49,0.01672,*,-18.27,0.03299,*,3.199,7,1,8,300,2.33,0.33,2.67,30
Grok,clipped,0.12,0.9709,,-8.06,0.42331,,2.852,6,1,7,300,2.0,0.33,2.33,30
Grok,unclipped,74.92,0.33186,,-195.16,0.31396,,2.854,6,1,7,300,2.0,0.33,2.33,30
Doubao,clipped,5.5,0.11039,,-17.67,0.11412,,,41,0,41,300,13.67,0.0,13.67,30
Doubao,unclipped,-0.06,0.99117,,8.31,0.71507,,,41,0,41,300,13.67,0.0,13.67,30
DeepSeek,clipped,-5.27,0.09416,dagger,16.52,0.08753,dagger,,1,7,8,300,0.33,2.33,2.67,30
DeepSeek,unclipped,-5.44,0.09054,dagger,16.64,0.08872,dagger,,1,7,8,300,0.33,2.33,2.67,30
Kimi,clipped,5.97,0.00243,**,-17.26,0.00189,**,,5,1,6,300,1.67,0.33,2.0,30
Kimi,unclipped,2.85,0.46107,,-9.45,0.32894,,,5,1,6,300,1.67,0.33,2.0,30
