model,framing,n_paired,a_non,a_think,delta_a_pp,t_pull,p_pull,hug_n_count,hug_t_count,delta_hug_cases,delta_hug_mean_pp,t_hug,p_hug
Gemini,G5,30,68.0,90.8,22.9,4.035,0.00036,9,23,14,46.7,4.065,0.00034
Gemini,G5a,30,75.4,93.3,17.9,3.506,0.0015,18,28,10,33.3,3.808,0.00067
Gemini,G5b,30,80.7,94.8,14.1,2.452,0.02044,21,28,7,23.3,2.971,0.00591
Gemini,G5S,30,41.8,71.5,29.7,3.496,0.00154,6,21,15,50.0,5.385,1e-05
MiMo,G5,30,94.1,100.0,5.9,1.594,0.1217,26,30,4,13.3,2.112,0.0434
MiMo,G5a,30,97.0,96.7,-0.4,-0.077,0.93905,29,29,0,0,0.0,1.0
MiMo,G5b,30,93.3,100.0,6.7,1.439,0.16079,28,30,2,6.7,1.439,0.16079
MiMo,G5S,30,97.0,100.0,3.0,1.0,0.32558,29,30,1,3.3,1.0,0.32558
GLM,G5,30,96.1,100.0,3.9,1.448,0.15837,27,30,3,10.0,1.795,0.08307
GLM,G5a,30,95.1,96.7,1.6,0.441,0.66237,27,29,2,6.7,1.439,0.16079
GLM,G5b,30,95.1,100.0,4.9,1.509,0.14217,27,30,3,10.0,1.795,0.08307
GLM,G5S,30,90.5,88.7,-1.8,-0.345,0.73281,25,26,1,3.3,0.571,0.57251
