tier,model,delta_pull_pp,c,n,delta_pull_round,c_round
S1,Gemini,-14.9410,-0.4644,30,-15,-0.46
S1,GLM,-33.5749,-0.5849,30,-34,-0.58
S1,MiMo,-22.4424,-0.3384,30,-22,-0.34
S1,Grok,20.5449,0.3216,30,21,0.32
S2,Gemini,-10.0333,-0.2478,30,-10,-0.25
S2,GLM,-36.2450,-0.5307,30,-36,-0.53
S2,MiMo,-3.0214,-0.0363,30,-3,-0.04
S2,Grok,-20.4470,-0.2531,30,-20,-0.25
S3,Gemini,-0.6990,-0.0139,30,-1,-0.01
S3,GLM,-27.8959,-0.3326,30,-28,-0.33
S3,MiMo,-1.6117,-0.0166,30,-2,-0.02
S3,Grok,3.5596,0.5164,30,4,0.52
S4,Gemini,24.0478,0.6237,30,24,0.62
S4,GLM,0.3619,0.0343,30,0,0.03
S4,MiMo,6.4912,0.7957,30,6,0.8
S4,Grok,10.6394,0.8646,30,11,0.86
S5,Gemini,17.7958,0.6341,30,18,0.63
S5,GLM,4.3890,1.0000,30,4,1.0
S5,MiMo,6.3158,1.0000,30,6,1.0
S5,Grok,5.5857,1.0000,30,6,1.0
